№,Секунда,Микросекунда
1,43,14008
2,43,24159
3,43,34281
4,43,44408
5,43,54532
6,43,64656
7,43,74803
8,43,84932
9,43,95062
10,43,105195
11,43,115320
12,43,125447
13,43,135574
14,43,145690
15,43,155802
16,43,165933
17,43,176210
18,43,186358
19,43,196479
20,43,206610
21,43,216746
22,43,226893
23,43,237029
24,43,247149
25,43,257283
26,43,267403
27,43,277545
28,43,287692
29,43,297837
30,43,307978
31,43,318116
32,43,328245
33,43,338367
34,43,348487
35,43,358635
36,43,368759
37,43,378877
38,43,389030
39,43,399163
40,43,409325
41,43,419453
42,43,429581
43,43,439699
44,43,449817
45,43,459966
46,43,470096
47,43,480236
48,43,490403
49,43,500539
50,43,510689
51,43,520842
52,43,530976
53,43,541104
54,43,551234
55,43,561317
56,43,571441
57,43,581566
58,43,591694
59,43,601830
60,43,611984
61,43,622135
62,43,632271
63,43,642402
64,43,652532
65,43,662675
66,43,672838
67,43,683028
68,43,693169
69,43,703307
70,43,713440
71,43,723620
72,43,733759
73,43,743881
74,43,754002
75,43,764137
76,43,774259
77,43,784445
78,43,794632
79,43,804782
80,43,814921
81,43,825075
82,43,835203
83,43,845322
84,43,855467
85,43,865612
86,43,875737
87,43,885871
88,43,896031
89,43,906171
90,43,916309
91,43,926434
92,43,936554
93,43,946685
94,43,956831
95,43,966960
96,43,977169
97,43,987304
98,43,997420
99,44,7574
100,44,17741
101,44,27870
102,44,38076
103,44,48291
104,44,58467
105,44,68660
106,44,78827
107,44,89015
108,44,99175
109,44,109345
110,44,119495
111,44,129660
112,44,139797
113,44,149948
114,44,160095
115,44,170238
116,44,180378
117,44,190523
118,44,200673
119,44,210830
120,44,220951
121,44,231105
122,44,241231
123,44,251355
124,44,261477
125,44,271603
126,44,281725
127,44,291845
128,44,301970
129,44,312092
130,44,322221
131,44,332347
132,44,342483
133,44,352632
134,44,362771
135,44,372913
136,44,383041
137,44,393159
138,44,403279
139,44,413435
140,44,423576
141,44,433717
142,44,443841
143,44,453982
144,44,464120
145,44,474246
146,44,484371
147,44,494503
148,44,504627
149,44,514746
150,44,524876
151,44,534998
152,44,545158
153,44,555293
154,44,565446
155,44,575574
156,44,585715
157,44,595843
158,44,605975
159,44,616114
160,44,626263
161,44,636420
162,44,646550
163,44,656722
164,44,666851
165,44,676994
166,44,687145
167,44,697287
168,44,707440
169,44,717579
170,44,727736
171,44,737865
172,44,748016
173,44,758145
174,44,768270
175,44,778390
176,44,788514
177,44,798699
178,44,808867
179,44,819047
180,44,829204
181,44,839403
182,44,849556
183,44,859696
184,44,869841
185,44,879966
186,44,890108
187,44,900275
188,44,910413
189,44,920549
190,44,930676
191,44,940802
192,44,950941
193,44,961089
194,44,971222
195,44,981317
196,44,991449
197,45,1569
198,45,11689
199,45,21819
200,45,31939
201,45,42077
202,45,52213
203,45,62337
204,45,72460
205,45,82590
206,45,92719
207,45,102880
208,45,113056
209,45,123233
210,45,133373
211,45,143519
212,45,153683
213,45,163821
214,45,173986
215,45,184121
216,45,194275
217,45,204412
218,45,214550
219,45,224703
220,45,234839
221,45,244986
222,45,255133
223,45,265312
224,45,275467
225,45,285597
226,45,295714
227,45,305844
228,45,315979
229,45,326102
230,45,336218
231,45,346354
232,45,356499
233,45,366639
234,45,376780
235,45,386914
236,45,397034
237,45,407155
238,45,417283
239,45,427463
240,45,437612
241,45,447768
242,45,457889
243,45,468042
244,45,478193
245,45,488330
246,45,498449
247,45,508569
248,45,518694
249,45,528830
250,45,538999
251,45,549115
252,45,559245
253,45,569404
254,45,579540
255,45,589667
256,45,600575
257,45,610734
258,45,620873
259,45,631039
260,45,641208
261,45,651349
262,45,661483
263,45,671622
264,45,681769
265,45,691896
266,45,702021
267,45,712147
268,45,722288
269,45,732418
270,45,742543
271,45,752678
272,45,762835
273,45,772984
274,45,783131
275,45,793278
276,45,803404
277,45,813616
278,45,823826
279,45,834014
280,45,844157
281,45,854310
282,45,864458
283,45,874592
284,45,884727
285,45,894864
286,45,904990
287,45,915121
288,45,925262
289,45,935419
290,45,945566
291,45,955699
292,45,965837
293,45,975972
294,45,986099
295,45,997442
296,46,7566
297,46,17750
298,46,27905
299,46,38056
300,46,48188
